Date,Time,Bendung Katulampa,ch_bk,Pos Depok,ch_depok,PA Manggarai,ch_manggarai,PA Karet,ch_karet,Pos Krukut Hulu,ch_kh,PA Pesanggrahan,ch_pasanggrahan,Pos Angke Hulu,ch_ah,Waduk Pluit,ch_pluit,Pasar Ikan,ch_pi,Pos Cipinang Hulu,ch_ch,Pos Sunter Hulu,ch_sh,PA Pulo Gadung,ch_pg
1/2/2014,2:00,30,MT,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
1/2/2014,6:00,40,T,115,MT,680,T,390,T,60,MT,75,T,40,T,-200,T,201,T,85,T,50,T,360,T
1/2/2014,7:00,35,T,105,T,680,T,390,T,60,,75,T,40,T,-200,,201,,85,T,50,T,360,T
1/2/2014,8:00,35,T,105,T,680,T,390,,60,,75,MT,40,T,-200,,201,,85,T,50,T,360,T
1/2/2014,9:00,30,T,105,T,680,T,390,,60,,75,MT,40,T,-200,,201,,85,T,50,T,360,T
1/2/2014,10:00,30,T,105,T,680,T,390,,60,,80,MT,40,T,-200,,201,,85,T,50,T,360,T
1/2/2014,11:00,30,MT,105,T,680,T,390,,60,,85,MT,40,T,-200,,201,,85,T,50,T,360,T
1/2/2014,12:00,30,MT,105,MT,680,T,390,,60,,85,MT,40,T,-200,,201,,85,T,50,T,360,MT
1/2/2014,13:00,30,MT,105,MT,680,MT,390,,60,,85,MT,40,T,-200,,201,,85,T,50,T,360,MT
1/2/2014,14:00,30,MT,105,MT,680,MT,390,,60,,70,MT,40,T,-200,,201,,85,T,50,MT,360,MT
1/2/2014,15:00,30,MT,105,MT,680,MT,390,,60,,70,MT,40,MT,-200,,201,,85,T,50,MT,360,MT
1/2/2014,16:00,30,MT,105,MT,680,MT,390,,60,,70,MT,40,MT,-200,,201,,85,T,50,MT,360,MT
1/2/2014,17:00,30,MT,100,MT,680,MT,390,,60,,75,MT,70,MT,-200,,201,,85,MT,50,MT,360,MT
1/2/2014,18:00,70,MT,100,MT,680,MT,390,,60,,75,MT,70,MT,-200,,201,,85,M,50,MT,360,MT
1/2/2014,19:00,40,M,100,MT,680,MT,380,T,50,MT,75,MT,65,T,-160,T,125,T,85,MT,50,T,365,T
1/2/2014,20:00,40,M,115,MT,680,MT,380,T,50,MT,75,MT,65,T,-160,T,124,MT,85,MT,50,T,365,T
1/2/2014,21:00,40,M,110,MT,680,T,380,T,50,MT,75,MT,65,T,-160,T,124,MT,85,MT,50,T,365,T
1/2/2014,22:00,40,M,105,T,680,T,380,T,50,MT,75,MT,65,T,-160,T,124,MT,85,T,50,T,365,T
1/2/2014,23:00,40,M,110,T,680,T,380,T,50,MT,75,MT,65,T,-160,T,124,MT,85,T,50,T,365,T
1/3/2014,0:00,30,MT,115,T,680,T,380,T,50,MT,75,MT,65,T,-160,T,145,MT,85,T,50,T,365,T
1/3/2014,1:00,30,MT,115,T,680,T,380,T,50,MT,75,MT,65,T,-160,T,156,MT,85,T,50,T,365,T
1/3/2014,2:00,30,MT,115,T,680,T,380,T,50,MT,75,MT,65,T,-160,T,162,MT,85,T,50,T,365,T
1/3/2014,3:00,30,MT,115,T,680,T,380,T,50,MT,75,MT,85,T,-185,MT,167,MT,85,T,50,T,365,T
1/3/2014,4:00,30,MT,115,T,680,T,380,T,50,MT,75,MT,65,T,-185,MT,173,MT,85,T,50,T,365,T
1/3/2014,5:00,30,MT,115,T,680,T,380,T,50,MT,75,MT,65,T,-185,MT,176,MT,85,T,50,T,365,T
1/3/2014,6:00,30,MT,100,MT,680,T,380,T,50,MT,75,MT,65,MT,-185,MT,179,MT,85,T,50,T,365,T
1/3/2014,10:00,30,,100,,680,,380,,50,,75,,65,,-195,T,227,T,85,,50,,365,
1/3/2014,11:00,30,,100,,680,,380,,50,,75,,65,,-195,,230,T,85,,50,,365,
1/6/2014,7:00,10,T,90,T,680,T,380,T,50,T,70,MT,50,T,-170,T,156,T,80,T,50,T,360,T
1/6/2014,8:00,10,T,90,T,680,T,390,T,50,T,75,T,40,T,-180,T,165,T,80,T,50,T,360,T
1/6/2014,9:00,10,T,90,T,680,T,380,T,50,T,75,T,40,T,-180,T,165,T,80,T,50,T,360,T
1/6/2014,10:00,10,T,90,MT,680,T,380,T,50,T,75,T,40,T,-170,M,165,MT,80,T,50,T,365,T
1/6/2014,11:00,10,T,90,MT,680,MT,380,M,45,T,75,T,40,T,-170,M,186,MT,80,T,50,T,365,M
1/6/2014,12:00,10,G,90,T,680,M,380,MT,45,MT,75,T,40,T,-170,MT,184,G,80,T,50,T,365,M
1/6/2014,13:00,10,G,90,T,680,M,380,MT,45,MT,75,T,40,T,-150,M,181,M,80,T,50,T,365,M
